unique_number,id_no,rev_bis,name_en,name_fr,short_description_en,short_description_fr,justification_en,justification_fr,date_inscribed,secondary_dates,danger,date_end,danger_list,longitude,latitude,area_hectares,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_txt,category,category_short,states_name_en,states_name_fr,region_en,region_fr,iso_code,udnp_code,transboundary
230,208,Rev,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Paysage culturel et vestiges archéologiques de la vallée de Bamiyan,"<p>The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.</p>","<p>Le paysage culturel et les vestiges archéologiques de la vallée de Bamiyan illustrent les développements artistiques et religieux qui, du Ier au XIIIe siècle, ont caractérisé l’ancienne Bactriane, intégrant diverses influences culturelles pour former l’école d’art bouddhique du Gandhara. Le site contient plusieurs ensembles monastiques et sanctuaires bouddhistes, ainsi que des édifices fortifiés de la période islamique. Il témoigne également de la tragique destruction des deux bouddhas debout par les taliban, qui ébranla le monde en mars 2001.</p>","<p><em>Criterion (i):</em> The Buddha statues and the cave art in Bamiyan Valley are an outstanding representation of the Gandharan school in Buddhist art in the Central Asian region.</p>
 <p><em>Criterion (ii)</em> : The artistic and architectural remains of Bamiyan Valley, and an important Buddhist centre on the Silk Road, are an exceptional testimony to the interchange of Indian, Hellenistic, Roman, Sasanian influences as the basis for the development of a particular artistic expression in the Gandharan school. To this can be added the Islamic influence in a later period.</p>
 <p><em>Criterion (iii):</em> The Bamiyan Valley bears an exceptional testimony to a cultural tradition in the Central Asian region, which has disappeared.</p>
 <p><em>Criterion (iv):</em> The Bamiyan Valley is an outstanding example of a cultural landscape which illustrates a significant period in Buddhism.</p>
 <p><em>Criterion (vi):</em> The Bamiyan Valley is the most monumental expression of the western Buddhism. It was an important centre of pilgrimage over many centuries. Due to their symbolic values, the monuments have suffered at different times of their existence, including the deliberate destruction in 2001, which shook the whole world.</p>","<p><em>Critère (i):</em> Les statues de Bouddha et l’art rupestre de la vallée de Bamyan sont une représentation exceptionnelle de l’école du Gandhara dans l’art bouddhique de la région d’Asie centrale.</p>
 <p><em>Critère (ii):</em> Les vestiges artistiques et architecturaux de la vallée de Bamyan, important centre bouddhiste sur la Route de la Soie, sont un témoignage exceptionnel de l’échange des influences indiennes, hellénistiques, romaines et sassanides qui ont servi de fondations à une expression artistique particulière de l’école du Gandhara. À cela s’ajoute une influence islamique ultérieure.</p>
 <p><em>Critère (iii):</em> La vallée de Bamyan est un témoignage exceptionnel d’une tradition culturelle d’Asie centrale aujourd’hui disparue.</p>
 <p><em>Critère (iv):</em> La vallée de Bamyan est un exemple exceptionnel de paysage culturel illustrant une période significative du bouddhisme.</p>
 <p><em>Critère (vi):</em> La vallée de Bamyan est l’expression monumentale la plus importante du Bouddhisme occidental. Ce fut un centre de pèlerinage essentiel sur plusieurs siècles. Les monuments, en raison de leurs valeurs symboliques, ont souffert à différentes périodes de leur histoire, notamment lors de la destruction délibérée de 2001, qui secoua le monde entier.</p>",2003,,1,,Y 2003,67.82525,34.84694,158.9265,1,1,1,1,0,1,0,0,0,0,(i)(ii)(iii)(iv)(vi),Cultural,C,Afghanistan,Afghanistan,Asia and the Pacific,Asie et Pacifique,af,afg,0
234,211,Rev,Minaret and Archaeological Remains of Jam,Minaret et vestiges archéologiques de Djam,"<p>The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.</p>","<p>Haut de 65m, le minaret de Djam est une construction gracieuse et élancée datant du XIIe siècle. Recouvert d’une décoration complexe en briques et portant une inscription de tuiles bleues au sommet, il est remarquable par la qualité de son architecture et de ses motifs décoratifs, qui représentent l’apogée d’une tradition artistique propre à cette région. Son impact est renforcé par un environnement spectaculaire : une vallée profonde qui s’ouvre entre d’imposantes montagnes au cœur de la province du Ghor.</p>","<p><em>Criterion (ii):</em> The innovative architecture and decoration of the Minaret of Jam played a significant role in the development of the arts and architecture of the Indian sub-continent and beyond.</p>
 <p><em>Criterion (iii): </em>The Minaret of Jam and its associated archaeological remains constitute exceptional testimony to the power and quality of the Ghurid civilization that dominated its region in the 12th and 13th centuries.</p>
 <p><em>Criterion (iv): </em>The Minaret of Jam is an outstanding example of Islamic architecture and ornamentation in this region and played a significant role in their further dissemination.</p>","<p><em>Critère (ii)</em> : L'architecture et la décoration innovatrices du Minaret de Djam ont joué un rôle significatif dans le développement des arts et de l'architecture du sous-continent indien et au-delà.</p>
 <p><em>Critère (iii)</em> : Le minaret de Djam et ses vestiges archéologiques associés constituent un témoignage exceptionnel de la puissance et de la qualité de la civilisation ghoride qui domina cette région aux XIIe et XIIIe siècles.</p>
 <p><em>Critère (iv)</em> : Le minaret de Djam est un exemple exceptionnel de l’architecture et de l’ornementation islamiques dans la région et joua un rôle dans leur diffusion.</p>",2002,,1,,Y 2002,64.51588889,34.39641667,70,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Afghanistan,Afghanistan,Asia and the Pacific,Asie et Pacifique,af,afg,0
1590,569,Bis,Historic Centres of Berat and Gjirokastra,Centres historiques de Berat et de Gjirokastra,"<p>Berat and Gjirokastra are inscribed as rare examples of an architectural character typical of the Ottoman period. Located in central Albania, Berat bears witness to the coexistence of various religious and cultural communities down the centuries. It features a castle, locally known as the Kala, most of which was built in the 13th century, although its origins date back to the 4th century BC. The citadel area numbers many Byzantine churches, mainly from the 13th century, as well as several mosques built under the Ottoman era which began in 1417. Gjirokastra, in the Drinos river valley in southern Albania, features a series of outstanding two-story houses which were developed in the 17th century. The town also retains a bazaar, an 18th-century mosque and two churches of the same period.</p>","<p>Berat et Gjirokastra sont inscrites en tant que rares exemples d'un style architectural typique de la période ottomane. Située dans le centre de l'Albanie, Berat porte le témoignage de la coexistence de différentes communautés religieuses et culturelles au fil des siècles. Elle comprend un château, localement appelé le Kala, dont la majeure partie fut construite au XIIIe siècle, bien que ses origines remontent au IVe siècle avant JC. Le quartier de la citadelle compte de nombreuses églises byzantines, dont plusieurs du XIIIème siècle, ainsi que plusieurs mosquées construites sous l'ère ottomane qui débuta en 1417. Gjirokastra, dans la vallée de la rivière Drinos au sud de l'Albanie, comprend une série de remarquables maisons à deux étages, qui se développèrent au XVIIe siècle. La ville comprend également un bazar, une mosquée du XVIIIe siècle ainsi que deux églises de la même époque.</p>",,,2005,2008,0,,,20.14083333,40.07416667,58.9,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Albania,Albanie,Europe and North America,Europe et Amérique du Nord,al,alb,0
1563,570,ter,Butrint,Butrint,"<p>Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city’s development.</p>","<p>Habité depuis les temps préhistoriques, le site de Butrint fut successivement le siège d’une colonie grecque, d’une ville romaine, puis d’un évêché. Après une époque de prospérité sous l’administration de Byzance, puis une brève occupation vénitienne, la ville fut abandonnée par sa population à la fin du Moyen Âge à cause de la présence de marécages voisins. Le site archéologique actuel est un conservatoire des ruines représentatives de chaque période du développement de la ville.</p>",,,1992,1999,0,2005,P 1997-2005,20.02095,39.745732,,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Albania,Albanie,Europe and North America,Europe et Amérique du Nord,al,alb,0
366,322,,Ruins of the Buddhist Vihara at Paharpur,Ruines du Vihara bouddhique de Paharpur,"<p>Evidence of the rise of Mahayana Buddhism in Bengal from the 7th century onwards, Somapura Mahavira, or the Great Monastery, was a renowned intellectual centre until the 12th century. Its layout perfectly adapted to its religious function, this monastery-city represents a unique artistic achievement. With its simple, harmonious lines and its profusion of carved decoration, it influenced Buddhist architecture as far away as Cambodia.</p>","<p>T&eacute;moin de l&rsquo;essor du bouddhisme du Mahayana au Bengale &agrave; partir du VIIe si&egrave;cle, cet ensemble, connu sous le nom de Somapura Mahvira, le &laquo; grand monast&egrave;re &raquo;, a &eacute;t&eacute; un centre intellectuel de renom jusqu&rsquo;au XIIe si&egrave;cle. Par son plan parfaitement adapt&eacute; &agrave; sa fonction religieuse, cette ville-monast&egrave;re repr&eacute;sente une r&eacute;alisation artistique unique qui a influenc&eacute; l&rsquo;architecture bouddhique jusqu&rsquo;au Cambodge, par la simplicit&eacute; et l&rsquo;harmonie de ses lignes et le foisonnement de son d&eacute;cor sculpt&eacute;.</p>",,,1985,,0,,,88.98333333,25.03333333,0,1,1,0,0,0,1,0,0,0,0,(i)(ii)(vi),Cultural,C,Bangladesh,Bangladesh,Asia and the Pacific,Asie et Pacifique,bd,bgd,0
943,798,,The Sundarbans,Les Sundarbans,"<p>The Sundarbans mangrove forest, one of the largest such forests in the world (140,000 ha), lies on the delta of the Ganges, Brahmaputra and Meghna rivers on the Bay of Bengal. It is adjacent to the border of India&rsquo;s Sundarbans World Heritage site inscribed in 1987. The site is intersected by a complex network of tidal waterways, mudflats and small islands of salt-tolerant mangrove forests, and presents an excellent example of ongoing ecological processes. The area is known for its wide range of fauna, including 260 bird species, the Bengal tiger and other threatened species such as the estuarine crocodile and the Indian python.</p>","<p>La for&ecirc;t de mangroves des Sundarbans, l&rsquo;une des plus grandes for&ecirc;ts mondiales de ce type (140 000 ha), couvre le delta du Gange, du Brahmapoutre et de la Meghna, dans la baie du Bengale. Elle est contigu&euml; au site indien des Sundarbans, class&eacute; patrimoine mondial depuis 1987. L&rsquo;ensemble du site est entrecoup&eacute; d&rsquo;un r&eacute;seau complexe de voies d&rsquo;eau sous l&rsquo;influence des mar&eacute;es, de vasi&egrave;res et d&rsquo;&icirc;lots de for&ecirc;ts de mangroves halophiles, offrant un excellent exemple de processus g&eacute;ologiques en cours. Le site est &eacute;galement connu pour la richesse de sa faune qui comprend 260 esp&egrave;ces d&rsquo;oiseaux, le tigre du Bengale et d&rsquo;autres esp&egrave;ces menac&eacute;es comme le crocodile marin et le python indien.</p>","<p>The Committee inscribed the site under <em>criteria (ix)</em> and <em>(x) </em> as one of the largest remaining areas of mangroves in the world, which supports an exceptional biodiversity with a wide range of flora and fauna, including the Bengal Tiger and provides a significant example of on-going ecological processes (monsoon rains, flooding, delta formation, tidal influence and plant colonisation).</p>","<p>Le Comit&eacute; a inscrit le site au titre des <em>crit&egrave;res (ix) et (x)</em> comme &eacute;tant l&rsquo;une des derni&egrave;res grandes zones de mangrove du monde, dot&eacute;e d&rsquo;une biodiversit&eacute; exceptionnelle avec une flore et une faune tr&egrave;s riches comprenant en particulier le tigre du Bengale, et constituant un exemple important de processus &eacute;cologiques en cours (pluies de mousson, inondations, formation d'un delta, influence des mar&eacute;es et colonisation v&eacute;g&eacute;tale).</p>",1997,,0,,,89.18333,21.95,139500,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Bangladesh,Bangladesh,Asia and the Pacific,Asie et Pacifique,bd,bgd,0
1786,1376,,Historic Bridgetown and its Garrison,Centre historique de Bridgetown et sa garnison,"<p>Historic Bridgetown and its Garrison, an outstanding example of British colonial architecture consisting of a well-preserved old town built in the 17th, 18th and 19th centuries, which testifies to the spread of Great Britain's Atlantic colonial empire. The property also includes a nearby military garrison which consists of numerous historic buildings. With its serpentine urban lay-out the property testifies to a different approach to colonial town-planning compared to the Spanish and Dutch colonial cities of the region which were built along a grid plan.</p>","<p>Le centre historique de Brigdgetown et sa garnison est un exemple exceptionnel de l'architecture coloniale britannique qui consiste en une vieille ville construite aux XVIIe, XVIIIe et XIXe siècle, qui témoigne de l'expansion de l'empire colonial britannique dans la zone atlantique. Le bien comprend également une garnison militaire située à proximité et composée de nombreux bâtiments historiques. Avec sa configuration de rues sinueuses, le bien témoigne d'une approche distincte des villes coloniales créées par les Espagnols ou les Néerlandais selon un plan en damier.</p>",,,2011,,0,,,-59.61388889,13.09666667,187,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Barbados,Barbade,Latin America and the Caribbean,Amérique latine et Caraïbes,bb,brb,0
2455,1589,,Landscape for Breeding and Training of Ceremonial Carriage Horses at Kladruby nad Labem,Paysage d’élevage et de dressage de chevaux d’attelage cérémoniels à Kladruby nad Labem,"<p>The property is situated on the Elbe (Labe) River flood plain where there is sandy soil, ox bow lakes and the relic of a riparian forest. The structure and functional use of plots of land (pastures, meadows, forests, fields, park), network of paths, avenues, trees in regimented lines and arranged clusters as well as the solitary trees, the network of watercourses, ensembles of buildings in the farmsteads and the overall composition including functional relations and links between these components - all this fully serves the needs of breeding and training of the Baroque draught horses of the Kladruber breed which were used during the ceremonies at the Habsburg Imperial Court. The composition of the landscape is the evidence of the intentional artistic approach to the landscape. The property is a rare example of the synthesis of two types of cultural landscape - living and organically developing landscape where its key function dominates and the manmade landscape intentionally designed and created using the principles of the French and English landscape architecture which is an outstanding example of the specialised decorative farm - <em>ferme ornée</em>. The Imperial Stud Farm was founded in 1579 and its landscape has been used for this purpose since then.</p>","<p>Le bien est situé sur la plaine d'inondation du fleuve Elbe (Labe) où on trouve des sols sablonneux, des bras morts et des restes de la forêt riveraine. La structure et l'utilisation fonctionnelle des parcelles de terrain (pâturages, prés, forêts, champs, parc), du réseau de sentiers, des chemins, des rangées et des bouquets d'arbres ainsi que d'arbres solitaires, des réseaux de cours d'eau, des ensembles de bâtiments de fermes et la composition globale qui consiste à lier fonctionnellement ces éléments - tout cela répond pleinement aux besoins de l'élevage et de l'entraînement des chevaux de trait baroques de Kladruby qui ont été utilisés pendant des cérémonies à la cour impériale de Habsbourg. La composition du paysage témoigne de l'approche artistique intentionnelle de paysage. Le bien est un exemple rare de la synthèse de deux types de cultures du paysage - le paysage vivant en évolution organique respectant sa fonction clé et le paysage façonné par l'homme, conçu et créé intentionnellement conformément aux principes des architectures paysagères française et anglaise qui sont un exemple éminent de ferme décorative spécialisée – ferme ornée. Le haras impérial a été fondé en 1579 et son paysage a depuis servi à cette fin.</p>",,,2019,,0,,,15.48425833,50.05665,1310,0,0,0,1,1,0,0,0,0,0,(iv)(v),Cultural,C,Czechia,Tchéquie,Europe and North America,Europe et Amérique du Nord,cz,cze,0
1269,1091,,Complex of Koguryo Tombs,Ensemble des tombes de Koguryo,"<p>The property includes several group and individual tombs - totalling about 30 individual tombs - from the later period of the Koguryo Kingdom, one of the strongest kingdoms in nowadays northeast China and half of the Korean peninsula between the 3rd century BC to 7th century AD. The tombs, many with beautiful wall paintings, are almost the only remains of this culture. Only about 90 out of more than 10,000 Koguryo tombs discovered in China and Korea so far, have wall paintings. Almost half of these tombs are located on this site and they are thought to have been made for the burial of kings, members of the royal family and the aristocracy. These paintings offer a unique testimony to daily life of this period.</p>","<p>Ce site comprend de nombreuses tombes, en groupes ou isolées (une trentaine), datant de la dernière période du royaume de Koguryo, l’un des royaumes les plus puissants de la Chine du nord-est et de la moitié de la péninsule coréenne entre le IIIe siècle av. J.-C. et le VIIe siècle apr. J.-C. Ces tombes, dont beaucoup sont ornées de splendides peintures murales, constituent presque les seuls vestiges laissés par cette culture. Sur les quelque 10 000 tombes de Koguryo découvertes jusqu’à présent en Chine et en Corée, 90 seulement comportent des peintures murales. Environ la moitié d’entre elles sont situées sur ce site ; on pense qu’elles étaient destinées aux rois ainsi qu’aux membres de la famille royale et de la noblesse. Ces peintures offrent un témoignage unique de la vie quotidienne de l’époque.</p>","<p><em>Criterion (i):</em> The wall paintings of the Koguryo Tombs are masterpieces of the culture and period of the Koguryo kingdom; the construction of the tombs demonstrates ingenious engineering solutions.</p>
 <p><em>Criterion (ii):</em> The special burial customs of the Koguryo culture had an important influence on other cultures in the region, including those in Japan.</p>
 <p><em>Criterion (iii):</em> The Koguryo Tombs are an exceptional testimony of the Koguryo culture, its burial customs as well as its daily life and beliefs.</p>
 <p><em>Criterion (iv): </em>The complex of Koguryo Tombs is an important example of burial typology.</p>","<p><em>Critère (i) :</em> Les peintures murales des Tombes de Koguryo sont des chefs-d’œuvre de la culture et de la période du royaume de Koguryo ; la construction des tombes témoigne de solutions d’ingénierie novatrices.</p>
 <p><em>Critère (ii) :</em> Les coutumes funéraires particulières de la culture de Koguryo ont eu une importante influence sur d’autres cultures de la région, y compris le Japon.</p>
 <p><em>Critère (iii) :</em> Les Tombes de Koguryo sont un témoignage exceptionnel de la culture de Koguryo, de ses coutumes funéraires, de sa vie quotidienne comme de ses croyances.</p>
 <p><em>Critère (iv) : </em>L’ensemble des Tombes de Koguryo est un exemple important de typologie funéraire.</p>",2004,,0,,,125.415,38.86305556,234.73,1,1,1,1,0,0,0,0,0,0,(i)(ii)(iii)(iv),Cultural,C,Democratic People's Republic of Korea,République populaire démocratique de Corée,Asia and the Pacific,Asie et Pacifique,kp,prk,0
690,583,,Fortress of Suomenlinna,Forteresse de Suomenlinna,"<p>Built in the second half of the 18th century by Sweden on a group of islands located at the entrance of Helsinki's harbour, this fortress is an especially interesting example of European military architecture of the time.</p>","<p>Construite dans la seconde moitié du XVIII<sup>e</sup> siècle par les Suédois sur un groupe d'îles situées à l'entrée de la rade d'Helsinki, la forteresse constitue un exemple particulièrement intéressant de l'architecture militaire européenne de l'époque.</p>",,,1991,,0,,,24.98722,60.14722,210,0,0,0,1,0,0,0,0,0,0,(iv),Cultural,C,Finland,Finlande,Europe and North America,Europe et Amérique du Nord,fi,fin,0
