id,unique_number,name_en,name_fr,short_description_en,short_description_fr,justification_en,justification_fr,date_inscribed,secondary_dates,danger,longitude,latitude,area_hectares,criteria_txt,category,states_name_en,states_name_fr,region_en,region_fr,created_at,updated_at,name_zh,states_name_zh,short_description_zh,region_zh
382,230,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Paysage culturel et vestiges archéologiques de la vallée de Bamiyan,"The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.","Le paysage culturel et les vestiges archéologiques de la vallée de Bamiyan illustrent les développements artistiques et religieux qui, du Ier au XIIIe siècle, ont caractérisé l’ancienne Bactriane, intégrant diverses influences culturelles pour former l’école d’art bouddhique du Gandhara. Le site contient plusieurs ensembles monastiques et sanctuaires bouddhistes, ainsi que des édifices fortifiés de la période islamique. Il témoigne également de la tragique destruction des deux bouddhas debout par les taliban, qui ébranla le monde en mars 2001.","<em>Criterion (i):</em> The Buddha statues and the cave art in Bamiyan Valley are an outstanding representation of the Gandharan school in Buddhist art in the Central Asian region.</p>
 <p><em>Criterion (ii)</em> : The artistic and architectural remains of Bamiyan Valley, and an important Buddhist centre on the Silk Road, are an exceptional testimony to the interchange of Indian, Hellenistic, Roman, Sasanian influences as the basis for the development of a particular artistic expression in the Gandharan school. To this can be added the Islamic influence in a later period.</p>
 <p><em>Criterion (iii):</em> The Bamiyan Valley bears an exceptional testimony to a cultural tradition in the Central Asian region, which has disappeared.</p>
 <p><em>Criterion (iv):</em> The Bamiyan Valley is an outstanding example of a cultural landscape which illustrates a significant period in Buddhism.</p>
 <p><em>Criterion (vi):</em> The Bamiyan Valley is the most monumental expression of the western Buddhism. It was an important centre of pilgrimage over many centuries. Due to their symbolic values, the monuments have suffered at different times of their existence, including the deliberate destruction in 2001, which shook the whole world.","<em>Critère (i):</em> Les statues de Bouddha et l’art rupestre de la vallée de Bamyan sont une représentation exceptionnelle de l’école du Gandhara dans l’art bouddhique de la région d’Asie centrale.</p>
 <p><em>Critère (ii):</em> Les vestiges artistiques et architecturaux de la vallée de Bamyan, important centre bouddhiste sur la Route de la Soie, sont un témoignage exceptionnel de l’échange des influences indiennes, hellénistiques, romaines et sassanides qui ont servi de fondations à une expression artistique particulière de l’école du Gandhara. À cela s’ajoute une influence islamique ultérieure.</p>
 <p><em>Critère (iii):</em> La vallée de Bamyan est un témoignage exceptionnel d’une tradition culturelle d’Asie centrale aujourd’hui disparue.</p>
 <p><em>Critère (iv):</em> La vallée de Bamyan est un exemple exceptionnel de paysage culturel illustrant une période significative du bouddhisme.</p>
 <p><em>Critère (vi):</em> La vallée de Bamyan est l’expression monumentale la plus importante du Bouddhisme occidental. Ce fut un centre de pèlerinage essentiel sur plusieurs siècles. Les monuments, en raison de leurs valeurs symboliques, ont souffert à différentes périodes de leur histoire, notamment lors de la destruction délibérée de 2001, qui secoua le monde entier.",2003,,1,67.8252500,34.8469400,158.93,(i)(ii)(iii)(iv)(vi),Cultural,Afghanistan,Afghanistan,Asia and the Pacific,Asie et Pacifique,2024-04-28 08:57:00.998557,2024-05-01 08:26:14.337163,巴米揚谷的文化景觀和考古遺跡,阿富汗,巴米揚谷地的文化景觀和考古遺跡代表了自公元1世紀至13世紀古代巴赫特里亞的藝術和宗教發展，將各種文化影響融入了犍陀羅佛教藝術學派。該地區包含眾多佛教僧院合奉和聖所，以及伊斯蘭時期的堡壘建築。這個遺址也是證明塔利班在2001年3月摧毀兩尊立佛像的悲慘事件的見證。,亞洲和太平洋
383,234,Minaret and Archaeological Remains of Jam,Minaret et vestiges archéologiques de Djam,"The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.","Haut de 65m, le minaret de Djam est une construction gracieuse et élancée datant du XIIe siècle. Recouvert d’une décoration complexe en briques et portant une inscription de tuiles bleues au sommet, il est remarquable par la qualité de son architecture et de ses motifs décoratifs, qui représentent l’apogée d’une tradition artistique propre à cette région. Son impact est renforcé par un environnement spectaculaire : une vallée profonde qui s’ouvre entre d’imposantes montagnes au cœur de la province du Ghor.","<em>Criterion (ii):</em> The innovative architecture and decoration of the Minaret of Jam played a significant role in the development of the arts and architecture of the Indian sub-continent and beyond.</p>
 <p><em>Criterion (iii): </em>The Minaret of Jam and its associated archaeological remains constitute exceptional testimony to the power and quality of the Ghurid civilization that dominated its region in the 12th and 13th centuries.</p>
 <p><em>Criterion (iv): </em>The Minaret of Jam is an outstanding example of Islamic architecture and ornamentation in this region and played a significant role in their further dissemination.","<em>Critère (ii)</em> : L'architecture et la décoration innovatrices du Minaret de Djam ont joué un rôle significatif dans le développement des arts et de l'architecture du sous-continent indien et au-delà.</p>
 <p><em>Critère (iii)</em> : Le minaret de Djam et ses vestiges archéologiques associés constituent un témoignage exceptionnel de la puissance et de la qualité de la civilisation ghoride qui domina cette région aux XIIe et XIIIe siècles.</p>
 <p><em>Critère (iv)</em> : Le minaret de Djam est un exemple exceptionnel de l’architecture et de l’ornementation islamiques dans la région et joua un rôle dans leur diffusion.",2002,,1,64.5158889,34.3964167,70.00,(ii)(iii)(iv),Cultural,Afghanistan,Afghanistan,Asia and the Pacific,Asie et Pacifique,2024-04-28 08:57:01.00506,2024-05-01 08:26:20.5369,賈姆塔樓及考古遺址,阿富汗,位於阿富汗的世界遺產，65米高的賈姆尖塔是一座優雅且高聳的建築，可以追溯到12世紀。這座尖塔被精美的磚砌覆蓋，頂部有一個藍色瓷磚鑲嵌的銘文，以其建築和裝飾的質量而聞名，代表了該地區建築和藝術傳統的巔峰。它的影響力更加突出，因為它位於吉爾省中心的壯麗景點，被高聳的山脈環繞著的深河谷中。,亞洲和太平洋
384,1590,Historic Centres of Berat and Gjirokastra,Centres historiques de Berat et de Gjirokastra,"Berat and Gjirokastra are inscribed as rare examples of an architectural character typical of the Ottoman period. Located in central Albania, Berat bears witness to the coexistence of various religious and cultural communities down the centuries. It features a castle, locally known as the Kala, most of which was built in the 13th century, although its origins date back to the 4th century BC. The citadel area numbers many Byzantine churches, mainly from the 13th century, as well as several mosques built under the Ottoman era which began in 1417. Gjirokastra, in the Drinos river valley in southern Albania, features a series of outstanding two-story houses which were developed in the 17th century. The town also retains a bazaar, an 18th-century mosque and two churches of the same period.","Berat et Gjirokastra sont inscrites en tant que rares exemples d'un style architectural typique de la période ottomane. Située dans le centre de l'Albanie, Berat porte le témoignage de la coexistence de différentes communautés religieuses et culturelles au fil des siècles. Elle comprend un château, localement appelé le Kala, dont la majeure partie fut construite au XIIIe siècle, bien que ses origines remontent au IVe siècle avant JC. Le quartier de la citadelle compte de nombreuses églises byzantines, dont plusieurs du XIIIème siècle, ainsi que plusieurs mosquées construites sous l'ère ottomane qui débuta en 1417. Gjirokastra, dans la vallée de la rivière Drinos au sud de l'Albanie, comprend une série de remarquables maisons à deux étages, qui se développèrent au XVIIe siècle. La ville comprend également un bazar, une mosquée du XVIIIe siècle ainsi que deux églises de la même époque.",,,2005,2008,0,20.1408333,40.0741667,58.90,(iii)(iv),Cultural,Albania,Albanie,Europe and North America,Europe et Amérique du Nord,2024-04-28 08:57:01.006761,2024-05-01 08:26:26.994676,貝拉特和吉羅卡斯特拉的歷史中心,阿爾巴尼亞,貝拉特和吉羅卡斯特拉被列為奧斯曼時期典型建築風格的罕見例子。位於阿爾巴尼亞中部的貝拉特見證了各種宗教和文化社區在歷史上的共存。它擁有一座城堡，當地稱為卡拉，大部分建於13世紀，但其起源可追溯到公元前4世紀。城堡區域有許多拜占庭教堂，主要建於13世紀，以及幾座奧斯曼時代於1417年開始建造的清真寺。吉羅卡斯特拉位於阿爾巴尼亞南部的德里諾斯河谷，擁有一系列17世紀發展的優秀雙層房屋。這座城鎮還保留著一個巴扎，一座18世紀的清真寺和兩座同時期的教堂。,歐洲和北美洲
385,1563,Butrint,Butrint,"Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city’s development.","Habité depuis les temps préhistoriques, le site de Butrint fut successivement le siège d’une colonie grecque, d’une ville romaine, puis d’un évêché. Après une époque de prospérité sous l’administration de Byzance, puis une brève occupation vénitienne, la ville fut abandonnée par sa population à la fin du Moyen Âge à cause de la présence de marécages voisins. Le site archéologique actuel est un conservatoire des ruines représentatives de chaque période du développement de la ville.",,,1992,1999,0,20.0209500,39.7457320,,(iii),Cultural,Albania,Albanie,Europe and North America,Europe et Amérique du Nord,2024-04-28 08:57:01.008573,2024-05-01 08:29:55.313445,布林特,阿爾巴尼亞,歷經史前時代居民的歷史，布林特曾是希臘殖民地、羅馬城市和主教區的所在地。在拜占庭統治下經歷一段繁榮時期後，短暫被威尼斯人佔領，隨後在中世紀晚期因該地區形成沼澤地而被遺棄。目前的考古遺址是城市發展各時期的遺跡收藏地。,歐洲和北美洲
386,111,"Al Qal'a of Beni Hammad",La Kalâa des Béni Hammad,"In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria.","Dans un site montagneux d&rsquo;une saisissante beaut&eacute;, les ruines de la premi&egrave;re capitale des &eacute;mirs hammadides, fond&eacute;e en 1007 et d&eacute;mantel&eacute;e en 1152, nous restituent l&rsquo;image authentique d&rsquo;une ville musulmane fortifi&eacute;e. Sa mosqu&eacute;e, avec sa salle de pri&egrave;re de 13 nefs &agrave; 8 trav&eacute;es, est l&rsquo;une des plus grandes d&rsquo;Alg&eacute;rie.",,,1980,,0,4.7868400,35.8184400,150.00,(iii),Cultural,Algeria,Algérie,Arab States,États arabes,2024-04-28 08:57:01.01026,2024-05-01 08:29:59.371425,本尼哈瑪德城堡,阿爾及利亞,在一個風景秀麗的山區遺址上，哈馬迪德埃米爾的第一個首都遺跡建於1007年，於1152年被拆毀，展現了一座堅固的穆斯林城市的真實面貌。這座清真寺的禮拜堂有13個通道和8個部分，是阿爾及利亞最大的清真寺之一。,阿拉伯國家
387,198,"Tassili n'Ajjer","Tassili n'Ajjer","Located in a strange lunar landscape of great geological interest, this site has one of the most important groupings of prehistoric cave art in the world. More than 15,000 drawings and engravings record the climatic changes, the animal migrations and the evolution of human life on the edge of the Sahara from 6000 BC to the first centuries of the present era. The geological formations are of outstanding scenic interest, with eroded sandstones forming ‘forests of rock’.","Cet étrange paysage lunaire de grand intérêt géologique abrite l’un des plus importants ensembles d’art rupestre préhistorique du monde. Plus de 15 000 dessins et gravures permettent d’y suivre, depuis 6000 av. J.-C. jusqu’aux premiers siècles de notre ère, les changements du climat, les migrations de la faune et l’évolution de la vie humaine aux confins du Sahara. Le panorama de formations géologiques présente un intérêt exceptionnel avec ses « forêts de rochers » de grès érodé.",,,1982,,0,9.0000000,25.5000000,7200000.00,(i)(iii)(vii)(viii),Mixed,Algeria,Algérie,Arab States,États arabes,2024-04-28 08:57:01.011836,2024-05-01 08:30:04.308005,塔西里纳杰尔,阿爾及利亞,"位於一個奇特的月球景觀中，這個遺址具有極大的地質學價值，是世界上最重要的史前洞穴藝術聚集地之一。超過15,000幅圖畫和雕刻記錄了從公元前6000年至現今的前幾世紀間，撒哈拉邊緣的氣候變化、動物遷徙和人類生活的演變。這裡的地質形態具有優美的景觀價值，侵蝕形成的砂岩形成了""石頭森林""。",阿拉伯國家
388,209,"M'Zab Valley","Vallée du M'Zab","A traditional human habitat, created in the 10th century by the Ibadites around their five <em>ksour</em> (fortified cities), has been preserved intact in the M’Zab valley. Simple, functional and perfectly adapted to the environment, the architecture of M’Zab was designed for community living, while respecting the structure of the family. It is a source of inspiration for today’s urban planners.","Le paysage de la vallée du M’Zab, créé au Xe siècle par les Ibadites autour de leurs cinq <em>ksour</em>, ou villages fortifiés, semble être resté intact. Simple, fonctionnelle et parfaitement adaptée à l’environnement, l’architecture du M’Zab a été conçue pour la vie en communauté, tout en respectant les structures familiales. C’est une source d’inspiration pour les urbanistes d’aujourd’hui.",,,1982,,0,3.6833300,32.4833300,665.03,(ii)(iii)(v),Cultural,Algeria,Algérie,Arab States,États arabes,2024-04-28 08:57:01.01312,2024-05-01 08:30:08.948435,梅扎布峽谷,阿爾及利亞,"位於M'Zab谷地的世界遺產是由伊巴迪教徒在10世紀創建的傳統人類居住地，圍繞著他們的五座堡壘城市而建。M'Zab的建築設計簡單、功能性強，完全適應當地環境，旨在促進社區生活，同時尊重家庭結構。這種建築風格對當今的城市規劃者具有啟發作用，是一個極具價值的文化遺產。",阿拉伯國家
389,212,Djémila,Djémila,"Situated 900 m above sea-level, Dj&eacute;mila, or Cuicul, with its forum, temples, basilicas, triumphal arches and houses, is an interesting example of Roman town planning adapted to a mountain location.","Dj&eacute;mila, ou Cuicul, avec son forum, ses temples et ses basiliques, ses arcs de triomphe et ses maisons, &agrave; 900 m d&rsquo;altitude, est un exemple remarquable d&rsquo;urbanisme romain adapt&eacute; &agrave; un site montagneux.",,,1982,,0,5.7366700,36.3205600,30.60,(iii)(iv),Cultural,Algeria,Algérie,Arab States,États arabes,2024-04-28 08:57:01.014359,2024-05-01 08:30:11.816301,迪梅拉,阿爾及利亞,坐落在海拔900米的地方，吉梅拉（Djémila）或古伊庫爾（Cuicul）以其廣場、寺廟、大教堂、凱旋門和住宅而聞名，是羅馬城鎮規劃適應山地位置的有趣範例。,阿拉伯國家
390,214,Tipasa,Tipasa,"On the shores of the Mediterranean, Tipasa was an ancient Punic trading-post conquered by Rome and turned into a strategic base for the conquest of the kingdoms of Mauritania. It comprises a unique group of Phoenician, Roman, palaeochristian and Byzantine ruins alongside indigenous monuments such as the Kbor er Roumia, the great royal mausoleum of Mauretania.","Sur les rives de la Méditerranée, Tipasa, ancien comptoir punique, fut occupé par Rome, qui en fit une base stratégique pour la conquête des royaumes mauritaniens. Il comprend un ensemble unique de vestiges phéniciens, romains, paléochrétiens et byzantins, voisinant avec des monuments autochtones, tel le Kbor er Roumia, grand mausolée royal de Maurétanie.",,,1982,,0,2.3833333,36.5500000,52.16,(iii)(iv),Cultural,Algeria,Algérie,Arab States,États arabes,2024-04-28 08:57:01.015562,2024-05-01 08:30:15.819003,蒂帕薩,阿爾及利亞,位於地中海岸的蒂帕薩是一個古老的腓尼基貿易據點，被羅馬征服並轉變為征服毛里塔尼亞王國的戰略基地。它包括一組獨特的腓尼基、羅馬、古基督教和拜占庭遺址，以及當地的紀念碑，如庫伯爾魯米亞和毛里塔尼亞的偉大皇家陵墓。,阿拉伯國家
391,215,Timgad,Timgad,"Timgad lies on the northern slopes of the Aurès mountains and was created <em>ex nihilo</em> as a military colony by the Emperor Trajan in AD 100. With its square enclosure and orthogonal design based on the <em>cardo</em> and <em>decumanus</em>, the two perpendicular routes running through the city, it is an excellent example of Roman town planning.","Sur le versant nord des Aurès, Timgad fut créée <em>ex nihilo</em>, en 100 apr. J.-C., par l’empereur Trajan comme colonie militaire. Avec son enceinte carrée et son plan orthogonal commandé par le <em>cardo</em> et le <em>decumanus</em>, les deux voies perpendiculaires qui traversaient la ville, c’est un exemple parfait d’urbanisme romain.",,,1982,,0,6.4688611,35.4841667,90.54,(ii)(iii)(iv),Cultural,Algeria,Algérie,Arab States,États arabes,2024-04-28 08:57:01.016804,2024-05-01 08:30:19.290317,廷加德,阿爾及利亞,蒂姆加德位於阿爾勒斯山脈的北坡，由特拉揚皇帝於西元100年創立，是一個從無到有的軍事殖民地。以其方形圍牆和基於羅馬城鎮規劃的cardo和decumanus兩條垂直路線設計，蒂姆加德是羅馬城鎮規劃的絕佳範例。,阿拉伯國家
